unidade;ano;mes;altas_ate_10h;saidas;tx_alta_ate_10h
CHPB;2022;1;12;24;0,5
CHPB;2022;2;11;27;0,4074074074074074
CHPB;2022;3;8;24;0,3333333333333333
CHPB;2022;4;15;38;0,39473684210526316
CHPB;2022;5;9;38;0,23684210526315788
CHPB;2022;6;9;45;0,2
CHPB;2022;7;11;40;0,275
CHPB;2022;8;8;36;0,2222222222222222
CHPB;2022;9;15;37;0,40540540540540543
CHPB;2022;10;11;39;0,28205128205128205
CHPB;2022;11;12;47;0,2553191489361702
CHPB;2022;12;13;40;0,325
CHPB;2023;1;10;41;0,24390243902439024
CHPB;2023;2;19;39;0,48717948717948717
CHPB;2023;3;19;50;0,38
CHPB;2023;4;14;46;0,30434782608695654
CHPB;2023;5;24;59;0,4067796610169492
CHPB;2023;6;9;47;0,19148936170212766
CHPB;2023;7;15;49;0,30612244897959184
CHPB;2023;8;19;44;0,4318181818181818
CHPB;2023;9;7;33;0,21212121212121213
CHPB;2023;10;15;50;0,3
CHPB;2023;11;10;36;0,2777777777777778
CHPB;2023;12;11;48;0,22916666666666666
CHPB;2024;1;11;42;0,2619047619047619
CHPB;2024;2;13;55;0,23636363636363636
CHPB;2024;3;13;35;0,37142857142857144
CHPB;2024;4;27;49;0,5510204081632653
CHPB;2024;5;16;41;0,3902439024390244
CHPB;2024;6;18;43;0,4186046511627907
CHPB;2024;7;18;47;0,3829787234042553
CHPB;2024;8;20;43;0,46511627906976744
CHPB;2024;9;8;45;0,17777777777777778
CHPB;2024;10;20;56;0,35714285714285715
CHPB;2024;11;15;47;0,3191489361702128
CHPB;2024;12;20;57;0,3508771929824561
CHPB;2025;1;10;42;0,23809523809523808
CHPB;2025;2;21;43;0,4883720930232558
CHPB;2025;3;21;49;0,42857142857142855
CHPB;2025;4;30;53;0,5660377358490566
CHPB;2025;5;16;47;0,3404255319148936
CHPB;2025;6;27;55;0,4909090909090909
CHPB;2025;7;14;42;0,3333333333333333
CHPB;2025;8;22;46;0,4782608695652174
CHPB;2025;9;10;30;0,3333333333333333
CHPB;2025;10;22;43;0,5116279069767442
CHPB;2025;11;12;33;0,36363636363636365
CHPB;2025;12;12;40;0,3
CSSFA;2022;1;6;22;0,2727272727272727
CSSFA;2022;2;5;13;0,38461538461538464
CSSFA;2022;3;3;23;0,13043478260869565
CSSFA;2022;4;3;30;0,1
CSSFA;2022;5;6;20;0,3
CSSFA;2022;6;5;26;0,19230769230769232
CSSFA;2022;7;7;32;0,21875
CSSFA;2022;8;3;23;0,13043478260869565
CSSFA;2022;9;3;27;0,1111111111111111
CSSFA;2022;10;7;23;0,30434782608695654
CSSFA;2022;11;6;23;0,2608695652173913
CSSFA;2022;12;6;27;0,2222222222222222
CSSFA;2023;1;5;13;0,38461538461538464
CSSFA;2023;2;0;12;0,0
CSSFA;2023;3;17;33;0,5151515151515151
CSSFA;2023;4;4;18;0,2222222222222222
CSSFA;2023;5;5;16;0,3125
CSSFA;2023;6;4;20;0,2
CSSFA;2023;7;4;16;0,25
CSSFA;2023;8;5;22;0,22727272727272727
CSSFA;2023;9;5;17;0,29411764705882354
CSSFA;2023;10;8;24;0,3333333333333333
CSSFA;2023;11;3;13;0,23076923076923078
CSSFA;2023;12;6;19;0,3157894736842105
CSSFA;2024;1;5;14;0,35714285714285715
CSSFA;2024;2;3;10;0,3
CSSFA;2024;3;13;30;0,43333333333333335
CSSFA;2024;4;8;24;0,3333333333333333
CSSFA;2024;5;13;24;0,5416666666666666
